Number;InsertionTime;SearchTime;RemovingTime;IndexingTime;IndexSearchingTime;InsertionUsedMemory;SearchUsedMemory;RemovingUsedMemory;IndexingUsedMemory;IndexSearchingUsedMemory;InsertionDiskOperationsCount;SearchDiskOperationsCount;RemovingDiskOperationsCount;IndexingDiskOperationsCount;IndexSearchingDiskOperationsCount;MaxSearchDepth;IndexMaxSearchDepth
422;53;69;46;7;0;510992;515026;519545;5673519;5685357;2,56;0,989;2,3;20;0;2;1
423;62;93;101;0;0;577324;583977;598235;5752202;5800216;2,17;0,998;2,62;20;0;2;1
424;54;85;69;16;0;666200;674576;42069;5824448;5947975;2,04;0,999;2,3;20;0;2;1
425;90;121;85;16;0;762967;770562;143498;5915755;6100554;2,02;0,999;1,78;20;0;2;1
426;69;101;100;16;0;467696;11716;281308;6009094;6255165;1,95;1;1,97;20;0;2;1
427;63;94;47;0;22;616774;620946;622720;5777465;5784336;4,08;2;2,6;20;0;3;1
428;63;78;32;0;0;631279;634885;637047;5791704;5804831;2,68;1;1,51;20;0;2;1
429;46;77;38;0;0;696970;703058;707573;5860696;5919362;2,24;1;1,75;20;0;2;1
430;85;116;70;15;0;785431;792927;800795;5971895;6065333;2,05;1;2,37;20;0;2;1
431;69;100;85;0;0;880406;28627;524309;6032673;6217472;2,04;1;2,2;20;0;2;1
432;69;107;132;0;0;576986;128416;2930;6125680;6371751;1,96;1;1,56;20;0;2;1
433;85;147;100;16;0;736704;315782;319265;5901980;5911506;2,67;1,99;3,25;20;0;3;1
434;100;138;117;8;0;758971;337413;343068;5926551;5942877;2,05;0,992;3,01;20;0;2;1
435;110;141;135;10;0;858342;11757;33700;6046662;6117388;2,01;0,999;2,12;20;0;2;1
436;184;247;178;2;8;134659;147004;125367;6151060;6335859;2;0,999;2,03;20;0;2;1
437;248;332;230;2;3;277127;292403;167242;6291795;6568594;2;1;1,78;20;0;2;1
438;243;334;262;10;0;433865;19878;62034;6441970;6810769;2;1;1,72;20;0;2;1
439;73;136;69;16;0;71340;80226;82376;6095513;6105604;2,56;2;2,55;20;0;3;1
440;69;107;47;0;15;94007;102160;104988;6117968;6137259;2,05;1;1,6;20;0;2;1
441;163;210;101;0;0;193662;206004;213580;6224844;6311650;2,01;1;1,82;20;0;2;1
442;163;226;144;9;0;328853;341018;348754;6359071;6529877;2;1;1,87;20;0;2;1
443;212;291;192;10;5;471077;56864;94912;6485737;6762628;2;1;1,76;20;0;2;1
444;246;328;270;3;8;627831;213667;373993;6635672;7004563;2;1;1,87;20;0;2;1
445;100;158;104;2;4;261521;266779;270980;6283938;6289574;3,81;1,99;3,12;20;0;3;1
446;78;109;84;0;0;277434;286011;293074;6306043;6317881;2,51;0,989;2,39;20;0;2;1
447;100;138;120;2;8;350852;362870;380714;6393686;6441700;2,17;0,998;2,34;20;0;2;1
448;116;154;183;8;0;448955;31476;213832;6471060;6594587;2,09;0,999;2,62;20;0;2;1
449;147;194;224;2;2;550726;131834;264887;6565511;6750310;2,04;0,999;2,48;20;0;2;1
450;179;242;256;8;0;655829;240322;342981;6672746;6918817;2,03;1;2,36;20;0;2;1
451;116;179;69;0;0;421511;427615;163;6443429;6450300;4,24;2;2,39;20;0;3;1
452;86;133;54;0;0;438316;17541;23345;6466488;6479615;2,82;1;1,54;20;0;2;1
453;116;154;85;2;8;512849;95116;102807;6544388;6603054;2,27;1;1,68;20;0;2;1
454;116;169;97;10;0;610389;191837;200290;6640775;6755553;2,1;1;1,73;20;0;2;1
455;169;238;131;10;0;711843;294529;304139;6744302;6915024;2,06;1;1,75;20;0;2;1
456;178;279;212;8;2;820705;404660;405461;6836652;7082723;2,05;1;2,03;20;0;2;1
457;497;811;698;8;0;73632;30711;48372;6662634;6669766;3,12;1,99;4,22;20;0;3;1
458;427;780;615;8;1;144269;78637;1465;6699347;6715673;2,93;2;3,38;20;0;3;1
459;594;815;777;0;0;84947;30971;54176;6840246;6910972;2,01;0,999;2,72;20;0;2;1
460;856;1120;1018;10;8;69247;15472;55880;7013745;7152471;2;0,999;2,47;20;0;2;1
461;1160;1471;1341;2;8;62950;19024;79310;7208992;7415718;2;0,999;2,46;20;0;2;1
462;1391;1765;1482;10;4;78396;33477;42770;7318094;7686893;2;1;2,01;20;0;2;1
463;475;796;473;2;3;88905;46021;60837;7018693;7028784;3,12;2;2,9;20;0;3;1
464;425;767;401;2;2;159628;6150;11126;7054719;7072719;2,93;2;2,27;20;0;3;1
465;576;800;302;10;0;98327;44240;52029;7181068;7267874;2,01;1;1,32;20;0;2;1
466;868;1123;394;0;8;82484;28504;37992;7338319;7509125;2;1;1,33;20;0;2;1
467;1270;1584;624;10;8;75938;31925;46325;7517414;7772220;2;1;1,47;20;0;2;1
468;1391;1765;666;0;0;91232;46101;62239;7704341;8043147;2;1;1,43;20;0;2;1
469;594;906;522;2;8;97504;51384;73781;7375230;7380866;3,78;1,99;3,15;20;0;3;1
470;544;867;535;10;8;167191;27593;48399;7435753;7444381;3,49;1,99;3,13;20;0;3;1
